Account,date,classification,daily_pnl,trade_count,total_size_usd,avg_trade_size,wins,long_count,short_count,win_rate,ls_ratio,segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,Greed,0.0,44,66856.49,1519.465681818182,0,44,0,0.0,44000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,Greed,6899.2458320000005,56,73755.74,1317.0667857142857,56,0,56,1.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,Greed,0.0,46,73735.48,1602.9452173913044,0,46,0,0.0,46000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,Greed,7372.485101,55,81107.93000000001,1474.6896363636365,55,0,55,1.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,Greed,1162.002541,78,163388.11,2094.719358974359,25,53,25,0.32051282051282054,2.1199999999152,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,6352.452613,517,1443682.0,2792.42166344294,233,270,247,0.4506769825918762,1.0931174089024571,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,Neutral,-12346.990829,124,75901.55,612.1092741935485,0,0,124,0.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,Neutral,355.5854,159,427297.12,2687.4032704402516,127,31,128,0.7987421383647799,0.24218749999810793,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,Neutral,1129.8489260000001,160,262595.6,1641.2224999999999,52,108,52,0.325,2.076923076883136,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,Fear,-6820.76955,1,82910.81,82910.81,0,0,1,0.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,Extreme Fear,0.0,52,76066.87,1462.824423076923,0,52,0,0.0,52000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,Fear,2480.902379,110,219900.91,1999.099181818182,50,60,50,0.45454545454545453,1.199999999976,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Extreme Fear,-3169.3554679999997,65,114173.17,1756.5103076923076,0,55,10,0.0,5.49999999945,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,Fear,0.0,37,55481.42,1499.4978378378378,0,37,0,0.0,37000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,Fear,2099.019688,47,57580.5,1225.1170212765958,47,0,47,1.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,Fear,656.540742,65,173973.68,2676.518153846154,57,8,57,0.8769230769230769,0.14035087719052017,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,Extreme Fear,-1065.797583,53,176292.61,3326.2756603773582,51,1,52,0.9622641509433962,0.01923076923039941,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,Fear,1591.753271,53,115769.39,2184.328113207547,52,1,52,0.9811320754716981,0.01923076923039941,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,Neutral,-2315.377191,27,115001.41,4259.311481481482,0,17,10,0.0,1.69999999983,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,Fear,0.0,42,61324.83,1460.115,0,42,0,0.0,42000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,Fear,-5018.466447,97,56306.5,580.479381443299,0,0,97,0.0,0.0,Frequent
